#,%cpu,%mem
1,0,"0,21"
2,0,"0,21"
3,0,"0,21"
4,1,"0,21"
5,1,"0,21"
6,0,"0,21"
7,0,"0,21"
8,1,"0,21"
9,"0,99","0,21"
10,0,"0,21"
11,2,"0,21"
12,0,"0,21"
13,0,"0,21"
14,1,"0,21"
15,1,"0,21"
16,1,"0,21"
17,0,"0,21"
18,1,"0,21"
19,0,"0,22"
20,1,"0,22"
21,0,"0,22"
22,1,"0,22"
23,0,"0,22"
24,1,"0,22"
25,0,"0,22"
26,1,"0,22"
27,1,"0,22"
28,1,"0,22"
29,1,"0,22"
30,0,"0,22"
31,1,"0,22"
32,0,"0,22"
33,1,"0,22"
34,1,"0,22"
35,1,"0,22"
36,0,"0,22"
37,0,"0,22"
38,1,"0,22"
39,0,"0,22"
40,1,"0,22"
41,1,"0,22"
42,0,"0,22"
43,2,"0,22"
44,0,"0,22"
45,0,"0,22"
46,1,"0,22"
47,0,"0,22"
48,2,"0,22"
49,0,"0,22"
50,1,"0,22"
51,0,"0,22"
52,0,"0,22"
53,1,"0,23"
54,1,"0,23"
55,1,"0,23"
56,0,"0,23"
57,0,"0,23"
58,2,"0,23"
59,0,"0,23"
60,0,"0,23"
61,1,"0,23"
62,1,"0,23"
63,1,"0,23"
64,1,"0,23"
65,0,"0,23"
66,0,"0,23"
67,1,"0,23"
68,1,"0,23"
69,0,"0,23"
70,1,"0,23"
71,1,"0,23"
72,0,"0,23"
73,2,"0,23"
74,0,"0,23"
75,1,"0,23"
76,1,"0,23"
77,1,"0,23"
78,1,"0,23"
79,0,"0,23"
80,1,"0,23"
81,1,"0,23"
82,0,"0,23"
83,1,"0,23"
84,0,"0,23"
85,1,"0,23"
86,0,"0,23"
87,2,"0,23"
88,0,"0,23"
89,1,"0,23"
90,1,"0,23"
